year,team,team_salary,wins,playoff_wins,champion,spend_tier,sport
2016,Dallas Mavericks,75397067.0,42.0,1.0,False,Medium,NBA
2017,Dallas Mavericks,102354966.0,33.0,0.0,False,Medium,NBA
2018,Dallas Mavericks,85440245.0,24.0,0.0,False,Low,NBA
2019,Dallas Mavericks,86958881.0,33.0,0.0,False,Low,NBA
2020,Dallas Mavericks,120871082.0,43.0,2.0,False,Medium,NBA
2021,Dallas Mavericks,127657823.0,42.0,3.0,False,Low,NBA
2022,Dallas Mavericks,126696965.0,52.0,9.0,False,Low,NBA
2023,Dallas Mavericks,177244238.0,38.0,0.0,False,High,NBA
2024,Dallas Mavericks,167755884.0,50.0,13.0,False,Medium,NBA
2015,Denver Nuggets,56820307.0,30.0,0.0,False,Low,NBA
2016,Denver Nuggets,72589023.0,33.0,0.0,False,Medium,NBA
2017,Denver Nuggets,83836460.0,40.0,0.0,False,Low,NBA
2018,Denver Nuggets,107543599.0,46.0,0.0,False,Medium,NBA
2019,Denver Nuggets,118327016.0,54.0,7.0,False,Medium,NBA
2020,Denver Nuggets,128746180.0,46.0,9.0,False,High,NBA
2021,Denver Nuggets,129793210.0,47.0,4.0,False,Medium,NBA
2022,Denver Nuggets,137963926.0,48.0,1.0,False,Medium,NBA
2023,Denver Nuggets,162338665.0,53.0,16.0,True,High,NBA
2024,Denver Nuggets,180922992.0,57.0,7.0,False,High,NBA
2015,Detroit Pistons,67410675.0,32.0,0.0,False,Medium,NBA
2016,Detroit Pistons,77256014.0,44.0,0.0,False,Medium,NBA
2017,Detroit Pistons,106492988.0,37.0,0.0,False,High,NBA
2018,Detroit Pistons,119773191.0,39.0,0.0,False,Medium,NBA
2019,Detroit Pistons,126557932.0,41.0,0.0,False,High,NBA
2020,Detroit Pistons,104527576.0,20.0,0.0,False,Low,NBA
